,L61,L62,L63,L71,L72,L73,mu31,mu32,mu33,MN,MPsi,Meta,l1,l2,y1,y2,MS1,MS2,MS3,mx1,mx2,mx3,U11,U12,U13,U21,U22,U23,U31,U32,U33,V11,V12,V13,V21,V22,V23,V31,V32,V33,L1,L2,L3,MK,h11,h21,h31,h12,h22,h32,h13,h23,h33,f11,f21,f31,f12,f22,f32,f13,f23,f33,mnu1,mnu2,mnu3,mv1,mv2,mv3
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,174.871593018004,675.3242742563506,1536.1832037622125,341932.40860963776,17372.780174771968,1.1743962922053013e-06,0.000556462542520074,1004.98907,1417.74576,10049.8758,174.8716,17369.5284,341936.683,1.0,-2.83387129e-07,1.08987248e-08,-1.22035541e-08,-0.004604813270000001,0.999989398,2.8333393800000003e-07,0.999989398,0.004604813270000001,1.0,-1.1648921e-08,-1.21923401e-10,1.16486233e-08,0.99999756,-0.00220893395,1.47654801e-10,0.00220893395,0.99999756,8.482874544340149e-06,8.471878300548881e-06,7.835517236167276e-06,1000000.0,0.10999038811506452,0.002128918969856663,0.11843799391142318,0.00011699310594319536,0.08238905872969632,0.00044435682040082873,0.00014271599070325632,0.0077761472909779845,0.0031991289464242518,0.0,5.505428372957285e-06,6.381642493523735e-06,0.0,4.583330083408272e-05,-5.9800361517752004e-05,0.0,-0.0004445003892644247,0.001232442708139391,1.0000000000000001e-20,8.75203022596807e-12,5.0477050440549434e-11,0.0,8.56763325e-12,4.73831381e-11
1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,180.48741597224392,1750.6861998341903,352.0063114063694,19006.556980262623,212599.77642568,1.134109887323597e-06,8.064482465446457e-05,1004.98907,1417.74576,10049.8758,180.4874,19002.9623,212607.621,1.0,-7.38902643e-07,6.08383398e-09,-7.38927671e-07,-0.999964299,0.00844986499,1.6001079299999996e-10,0.00844986499,0.999964299,1.0,-9.12112625e-10,-6.932648209999999e-09,-6.930428959999999e-09,0.00241099824,-0.999997094,9.28824577e-10,0.999997094,0.00241099824,9.471044913890905e-07,9.393724288319021e-07,8.118803343799822e-07,1000000.0,0.00012901106926233033,0.0003006429510711295,0.07498268030864615,0.06636913737696906,0.2598118930543087,0.0003916018517920713,0.014705386856216971,0.006443896041700126,0.0016994065824395535,0.0,-8.233894975345001e-05,0.000508605720403988,0.0,1.0061729285938819e-05,0.00014220415104911345,0.0,0.00039545239549129414,-0.00016116692519605648,1.0000000000000001e-20,8.765270436191415e-12,4.997949711400038e-11,0.0,9.94495629e-12,5.5592236600000004e-11
2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,138.2774975940274,694.5214508577162,803.819378360183,7170.85736799691,149262.66537244074,1.1797092280929849e-06,5.402788448021337e-06,1004.98907,1417.74576,10049.8758,138.2775,7166.92625,149266.669,1.0,-1.3129116e-07,6.096373879999999e-10,-1.3129257100000002e-07,-0.999987883,0.00492288,3.6700627200000007e-11,0.00492288,0.999987883,1.0,-1.3625578599999999e-09,-2.3997532899999997e-09,-2.39205568e-09,0.00562155593,-0.999984199,1.37602667e-09,0.999984199,0.00562155593,2.0009814590208031e-07,1.9695548747100927e-07,1.4799679116228805e-07,1000000.0,0.01971494827745646,0.0045718486909773004,0.00036767762038320017,0.001880877518098291,0.0863273211373028,0.0008150966246027043,0.0017801380220636234,0.022188601199460527,0.941054491134492,0.0,0.0012318258300830626,0.0016028888210313787,0.0,0.00020879885417870013,0.0018534551153106405,0.0,-3.839580493565759e-05,0.000256535097620749,1.0000000000000001e-20,8.500988860940666e-12,5.000427053080125e-11,0.0,9.25898971e-12,5.492049470000001e-11
3,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,119.84379754218772,1949.297495517268,356.4195773600625,1465.846334533908,5400.519403868128,3.8940194242202946e-05,0.00013718272027636247,1004.98907,1417.74576,10049.8758,119.8438,1244.1118,5804.592110000001,1.0,-1.7852705699999998e-05,6.419137139999999e-06,-1.89608132e-05,-0.9290328659999999,0.369997206,6.418618599999999e-07,0.369997206,0.929032867,1.0,-1.11439705e-06,2.23452808e-08,1.89787109e-07,0.150481624,-0.9886128059999999,1.0983446399999999e-06,0.9886128059999999,0.150481624,7.041189132902251e-05,6.46285332988826e-05,2.9598991533265087e-05,1000000.0,0.01727737035762381,0.2521785662144749,0.0009923910230162792,0.001898585569821491,0.0010999917663091594,0.007281288696512078,0.5525878742749446,0.00035524217037297113,0.18161083721636007,0.0,3.256329241731547e-07,1.5880742546963327e-06,0.0,-1.6148312040582845e-05,7.679752683089297e-05,0.0,3.8849649945451727e-07,-2.332488612733478e-07,1e-20,8.623973980766928e-12,4.913556515197116e-11,0.0,6.47169355e-12,3.98204951e-11
4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,136.06350610026186,570.1365598006319,301.5429282626416,209977.0849615494,27116.614024189526,1.1022897263645038e-05,0.0008601300164498992,1004.98907,1417.74576,10049.8758,136.0635,27115.6473,209978.215,1.0,-7.13205042e-07,1.46406587e-08,-1.59365329e-08,-0.00181700678,0.9999983490000001,7.13177262e-07,0.9999983490000001,0.00181700678,1.0,-7.06968912e-08,-2.70192745e-10,7.06957866e-08,0.999995649,-0.00294986184,4.78737631e-10,0.00294986184,0.999995649,1.3518138296707062e-05,1.3539287480722665e-05,1.299234160116432e-05,1000000.0,0.00017470386140662082,0.000615130089312432,0.03982034117441677,0.00023027253018432584,0.018533824898342783,0.0043321976776248714,0.010348535779258728,0.0002894514320137596,0.00039656250342600936,0.0,-1.2673897177788366e-05,4.195958201347995e-05,0.0,1.5111519337509247e-05,0.0001486058406356485,0.0,3.8272851627592044e-05,4.794972618257152e-05,1e-20,8.617621512954293e-12,4.974806262267949e-11,0.0,7.43643274e-12,4.3537549499999996e-11
5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,147.02408832956087,1483.1203826608523,844.6383382533397,187145.081983445,376334.7246223505,7.095784481745701e-06,2.429182607991282e-05,1004.98907,1417.74576,10049.8758,147.0241,187138.121,376342.041,1.0,-2.25994877e-08,8.77812058e-11,-2.25995674e-08,-0.999977433,0.00671811054,6.40466315e-11,0.00671811054,0.999977433,1.0,-3.28271645e-09,8.26093272e-12,2.6594866100000003e-11,0.00558502766,-0.9999844040000001,3.28261911e-09,0.9999844040000001,0.00558502766,2.8779435623176884e-07,2.877830708468748e-07,2.861975023372796e-07,1000000.0,0.00045443323201874777,0.002673879145856209,0.05938090941746424,0.0002746565561561695,0.023033656529989826,0.010774752262799165,0.08687281711824915,0.3088875847219168,0.009096820784663357,0.0,2.680120536222933e-05,0.0017223252122684,0.0,-0.002101000200864116,0.0015464884897663515,0.0,0.00020745861184393808,0.00027056542624019213,1e-20,8.662850105193742e-12,5.030219311484024e-11,0.0,6.85709476e-12,4.2266483200000005e-11
6,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,113.4492379671258,1200.546858208908,1309.837728049727,25160.831182547598,9682.119625365931,1.2744156781617848e-05,0.00033905995848199067,1004.98907,1417.74576,10049.8758,113.4492,9581.08087,25262.0405,1.0,-2.36128179e-06,2.901446e-07,-4.82484449e-07,-0.08186816870000001,0.996643167,2.32960175e-06,0.996643167,0.08186816870000001,1.0,-2.2578329800000005e-07,1.2630468e-10,2.2509219899999997e-07,0.996895057,-0.0787416359,1.76526337e-08,0.0787416359,0.996895057,6.09556175343429e-05,6.0264742945098316e-05,4.2427895358942416e-05,1000000.0,0.23771362143494554,0.09759508571663414,0.006543675140664622,0.6285209463582377,0.00017617832333634726,0.2398681721905171,0.0043407534015320335,0.0024847117875565245,0.0039833560845478075,0.0,1.0887092030172177e-06,-5.980516116192103e-08,0.0,-2.0475161931574167e-07,-1.3554285235126957e-06,0.0,-1.744733081983561e-05,0.0003237445135205559,1e-20,8.634577557938764e-12,4.925964716371514e-11,0.0,8.185354519999999e-12,4.16252069e-11
7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,178.51632367239174,971.2222584863632,615.5350574441342,227680.5595586493,47856.506139049765,3.941921123019618e-06,0.00023093971363436695,1004.98907,1417.74576,10049.8758,178.5163,47853.1245,227684.215,1.0,-1.7660602899999996e-07,3.53068285e-09,-4.19582759e-09,-0.0037664047499999997,0.999992907,1.7659147799999996e-07,0.999992907,0.0037664047499999997,1.0,-1.43267287e-08,-7.73566849e-11,1.43261543e-08,0.9999872120000001,-0.00505727811,1.49809947e-10,0.00505727811,0.9999872120000001,4.587749073423666e-06,4.5948601736377464e-06,4.497189686811093e-06,1000000.0,0.04964216232524546,0.028315872444218043,0.5158094793847605,0.8181872861841644,0.02198530191521306,0.0011424933337791938,0.0009815247409489566,0.07960183009282501,0.008946982944029081,0.0,-2.5981747507490232e-06,1.2799235442479265e-05,0.0,1.3269026243311686e-06,1.0931807824523964e-06,0.0,1.2992996908304874e-05,9.455169906564632e-05,1e-20,8.437424624594059e-12,4.986931088932324e-11,0.0,7.66111871e-12,4.48702292e-11
8,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,158.33944196678237,1886.5439863189208,1672.7603438709516,84391.17920441483,322546.4777998577,1.3541269275070376e-05,9.714424430546657e-05,1004.98907,1417.74576,10049.8758,158.3394,84377.9101,322559.826,1.0,-2.00438153e-07,1.16875647e-09,-2.00441197e-07,-0.999970087,0.007734693409999998,3.81606151e-10,0.007734693409999998,0.999970087,1.0,-7.307633359999998e-09,-2.12712809e-10,-1.60023923e-10,0.007209359870000002,-0.999974012,7.30897698e-09,0.999974012,0.007209359870000002,2.253600975765979e-06,2.252761574942698e-06,2.2117308273875663e-06,1000000.0,0.013803760667436571,0.07811822789438502,0.3813716975616933,0.1293231995063123,0.6832974063164334,0.00018770116132674005,0.0008281284220018389,0.1194355618159353,0.0003019551147392594,0.0,-6.585663416538348e-06,3.95345755833844e-05,0.0,1.6297378446686285e-05,2.158149205161091e-05,0.0,-7.423141907908586e-05,-1.1195915084643244e-05,1e-20,8.401964599578264e-12,5.095481469162968e-11,0.0,8.341638860000001e-12,4.97928657e-11
9,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,103.85569908460936,591.654118576717,307.15435583745096,43943.87635306331,388992.9631718284,2.3390202801751424e-05,0.0005983326770443871,1004.98907,1417.74576,10049.8758,103.8557,43943.3414,388993.632,1.0,-2.37061293e-06,3.60288271e-09,-2.3706156600000003e-06,-0.99999867,0.00163100135,2.63594983e-10,0.00163100135,0.99999867,1.0,-1.04636358e-08,-5.461757420000001e-09,-5.4515646799999995e-09,0.000973863035,-0.999999526,1.04689498e-08,0.999999526,0.000973863035,2.9268061632166813e-06,2.922401505244505e-06,2.811505511409744e-06,1000000.0,0.00012756579359715148,0.02632780663113685,0.06759686846738756,0.013377628170294118,0.0636695160186378,0.10480682062430327,0.0021550292421485357,0.030788566105819145,0.0032344215800184212,0.0,-0.00023365661957049322,-0.00010264943321827866,0.0,0.00013378293347835976,0.000179572794005766,0.0,-2.749435327252845e-05,0.00011108544519605122,1.0000000000000001e-20,8.680474072834523e-12,5.0661657795564286e-11,0.0,8.61697766e-12,5.01097602e-11
10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,152.29768983447426,842.7454851406519,1068.6533330911916,8311.144489407563,803443.104590879,4.201813758678715e-06,3.610419858379216e-06,1004.98907,1417.74576,10049.8758,152.2977,8310.01103,803444.2640000002,1.0,-7.56660183e-08,7.919514190000001e-11,-7.56660597e-08,-0.999999435,0.00106278769,1.22181576e-12,0.00106278769,0.999999435,1.0,-9.08786559e-10,-1.29439278e-09,-1.29317286e-09,0.00134108292,-0.999999101,9.105216300000001e-10,0.999999101,0.00134108292,5.4968550958916864e-08,5.3924711045715723e-08,4.325729635783901e-08,1000000.0,0.0035271544704668623,0.2399148030734195,0.06418078954942122,0.000274668725100604,0.4871185701229295,0.7687423008473245,0.09328031920526587,0.23768508389779786,0.12399223885256384,0.0,-2.4868302813531228e-05,0.0001576059669832173,0.0,-0.0002830102529772228,0.0005937660630114907,0.0,0.0011787592442844305,0.0017741555478205575,1.0000000000000001e-20,8.470320396990158e-12,5.044725006981962e-11,0.0,9.86053851e-12,5.828591729999999e-11
11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,128.44073802839475,1377.5278610580758,1052.3930889186877,83930.22896415083,359574.6738304342,5.700144562436832e-06,7.838907637720226e-06,1004.98907,1417.74576,10049.8758,128.4407,83924.9345,359580.115,1.0,-1.6261709e-08,6.13126026e-11,-1.62618164e-08,-0.999988604,0.00477412796,1.63235756e-11,0.00477412796,0.999988604,1.0,-2.76001895e-09,2.04138378e-11,3.15669954e-11,0.00404103176,-0.999991835,2.75991393e-09,0.999991835,0.00404103176,1.5938403240412885e-07,1.5936691086011306e-07,1.5759264337927422e-07,1000000.0,0.10338554521706876,0.0009483243631909287,0.0002295869929795982,0.12329011157608134,0.008943605553209834,0.34486512153119153,0.03552135512445952,0.027560585734526584,0.007301588524891478,0.0,7.944200481277328e-05,-0.0028890524963105786,0.0,-0.00013022685102027093,0.0004667124989576301,0.0,0.0011142455733652418,0.008222277120999072,1.0000000000000001e-20,9.007317984613787e-12,5.074242576778425e-11,0.0,6.87140382e-12,3.83310915e-11
12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,135.7914980899621,561.4828594437216,788.2051146680487,35896.38343191217,89565.13752194899,5.780178031758742e-06,0.00027197523026933294,1004.98907,1417.74576,10049.8758,135.7915,35887.9981,89573.7267,1.0,-1.3193306299999995e-06,8.25391765e-09,-1.3193371299999998e-06,-0.999931929,0.0116677761,7.140298590000001e-09,0.0116677761,0.999931929,1.0,-1.11810988e-08,-4.81597001e-09,-4.66487041e-09,0.0134747366,-0.999909212,1.12449776e-08,0.999909212,0.0134747366,7.536274425377702e-06,7.519335762971593e-06,6.886884253235509e-06,1000000.0,0.0249884965095304,0.0005349773057024722,0.0012278437344149429,0.000181116904081397,0.001192164319903184,0.0017781047308829683,0.4912052584208986,0.00010435486425220323,0.07178821818206013,0.0,0.0005123739914677375,0.0009404512437324676,0.0,0.00021811080449761852,0.0036592669503615117,0.0,-2.7060971566621993e-05,-5.1736151165614945e-05,1.0000000000000001e-20,8.731695870183806e-12,4.912835907553492e-11,0.0,8.9641108e-12,4.93487656e-11
13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,142.13612384518646,352.5623541404197,549.8009324605464,115643.14335980867,8743.623586620188,5.046249242383123e-06,0.0006319796501141756,1004.98907,1417.74576,10049.8758,142.1361,8741.79796,115645.082,1.0,-9.516406040000001e-07,3.67494391e-08,-4.15198734e-08,-0.00501333805,0.9999874329999999,9.514444070000001e-07,0.9999874329999999,0.00501333805,1.0,-9.98297904e-08,-8.653024130000001e-10,9.982623800000001e-08,0.9999941259999999,-0.0034276659600000004,1.2074805e-09,0.0034276659600000004,0.9999941259999999,1.5084140811143397e-05,1.5051748058219793e-05,1.3077341144305462e-05,1000000.0,0.0010939548497336693,0.00023738285524341392,0.7719820923040851,0.5095040050430879,0.2390752025017395,0.10828528814276683,0.906576053292879,0.00048661995253792634,0.35943188364630274,0.0,-5.105552968677957e-07,3.911886549786587e-06,0.0,1.3082762621629864e-06,1.0002625753556337e-05,0.0,-4.5382557323664636e-07,-5.8254317698961936e-06,1e-20,8.890698228381294e-12,5.041657157472685e-11,0.0,7.70641572e-12,4.58684795e-11
14,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,125.01940007712228,1214.2176423576784,1645.6093969407248,335795.3503397202,59863.9748395812,1.791425326144515e-06,0.0002925432460585913,1004.98907,1417.74576,10049.8758,125.0194,59856.6778,335802.927,1.0,-1.51693739e-07,3.06593165e-09,-3.93464217e-09,-0.00572707095,0.9999836,1.51673693e-07,0.9999836,0.00572707095,1.0,-5.20261846e-09,-3.766444470000001e-11,5.20238789e-09,0.99998925,-0.004636777,6.17874214e-11,0.004636777,0.99998925,5.3027944416307235e-06,5.302822302625254e-06,5.179794871953508e-06,1000000.0,0.005588898789306979,0.002334041598215587,0.00014408277374149462,0.010581880013495894,0.10875373000168724,0.040994660803007635,0.0003102432589669,0.00037782860035389515,0.5945522106134763,0.0,0.000162513139375736,0.0001537625893515921,0.0,4.151822579815371e-06,5.38299995941317e-05,0.0,-1.9818398141722357e-06,7.892577422024847e-06,1e-20,8.403153536606118e-12,4.9489525794973326e-11,0.0,8.24664952e-12,4.8573571e-11
15,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,194.8103169300579,223.445386857546,426.6795699386029,88011.89662407489,79591.28167707937,2.1560335101870787e-06,0.0001279985132072295,1004.98907,1417.74576,10049.8758,194.8103,79578.8118,88024.4914,1.0,-2.53209919e-07,6.99331864e-10,-1.06051368e-08,-0.0391230344,0.9992344009999999,2.52988702e-07,0.9992344009999999,0.0391230344,1.0,-4.71162638e-09,-5.48506611e-10,4.6874446e-09,0.9992811070000001,-0.0379113434,7.26736379e-10,0.0379113434,0.9992811070000001,1.2891928921175016e-06,1.29188312538849e-06,1.2645729011376287e-06,1000000.0,0.0022485618001164605,0.029395282277224183,0.00018378846365750456,0.0062394855919747465,0.3372087921894662,0.2124123711572666,0.03322714271134563,0.001040960612998247,0.00028241993485531865,0.0,0.0003438615750470085,-0.0005946771436610841,0.0,-1.976043126497428e-05,0.00013031073088744656,0.0,9.130950108702008e-05,0.00018310768359728385,1e-20,8.406260883911702e-12,5.0109514508870823e-11,0.0,7.33588408e-12,4.38354812e-11
16,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,161.72682285956998,203.7805959502544,1801.5500702622546,44961.634401828254,104698.78443538092,5.385160546781939e-06,0.0009556382328951416,1004.98907,1417.74576,10049.8758,161.7268,44949.0697,104719.88900000001,1.0,-3.7008390499999998e-06,7.18966852e-09,-3.70067911e-06,-0.999934558,0.011440283899999999,3.51494512e-08,0.011440283899999999,0.999934558,1.0,-8.715531359999999e-09,-1.32724014e-08,-1.30764178e-08,0.022114289199999998,-0.999755449,9.00690969e-09,0.999755449,0.022114289199999998,3.935453354752941e-05,3.929085934191261e-05,3.670583645418689e-05,1000000.0,0.0022248619853404176,0.05243507228709605,0.00075371260378655,0.0024764872092368447,0.5304233590454541,0.003813938423865138,0.00016368831984235233,0.0002083015314731435,0.0007939498144498706,0.0,8.00416158991072e-05,9.257171836207111e-06,0.0,-7.618002871247902e-06,4.464982805438796e-07,0.0,-0.00025062967608978565,0.0011360504625640981,1e-20,8.926477951007538e-12,5.053503639877597e-11,0.0,9.041287630000001e-12,5.12277903e-11
17,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1010000.0,2010000.0,101000000.0,166.67946206641503,643.5788733420143,1736.7348855765802,31189.579557975718,58910.876250268986,4.075346472214067e-05,7.76586304603847e-05,1004.98907,1417.74576,10049.8758,166.6795,31141.8925,58965.1987,1.0,-4.3374441499999994e-07,4.39774076e-09,-4.33612993e-07,-0.999324359,0.0367535915,1.15468956e-08,0.0367535915,0.999324359,1.0,-1.20434582e-07,1.67134451e-10,6.05310665e-09,0.0488744333,-0.9988049309999999,1.20282485e-07,0.9988049309999999,0.0488744333,8.198147779630984e-06,8.18694777293089e-06,7.603618740071063e-06,1000000.0,0.04291789939674333,0.9468743315035182,0.002814874747426576,0.0002353855496892436,0.006004801364648078,0.004611778752275233,0.020135037424297324,0.00034397504295200605,0.07129211626731831,0.0,4.0513177122711e-06,2.649470876330635e-06,0.0,-0.000551114532454339,0.0003202304701292944,0.0,2.7357728900047212e-05,3.8803182299132896e-05,1e-20,8.657147978241955e-12,4.983171941962438e-11,0.0,7.69294366e-12,3.7753124799999993e-11
